zip,density,income,age
36067,1.0,2.0,3.0
36066,1.0,2.0,3.0
36022,1.0,2.0,3.0
36051,1.0,2.0,3.0
36749,1.0,2.0,0.0
36003,1.0,2.0,0.0
36579,1.0,2.0,0.0
36562,1.0,2.0,3.0
36507,1.0,2.0,3.0
36567,1.0,2.0,3.0
36551,1.0,2.0,3.0
36527,1.0,3.0,0.0
36526,1.0,3.0,0.0
36574,1.0,2.0,0.0
36576,1.0,2.0,3.0
36580,1.0,2.0,0.0
36532,1.0,3.0,0.0
36535,1.0,2.0,0.0
36542,1.0,2.0,0.0
36561,1.0,3.0,4.0
36530,1.0,2.0,0.0
36549,1.0,2.0,5.0
36053,1.0,1.0,0.0
36027,1.0,1.0,0.0
36016,1.0,1.0,3.0
36048,1.0,1.0,0.0
36017,1.0,1.0,3.0
35184,1.0,2.0,3.0
35188,1.0,2.0,3.0
35042,1.0,2.0,0.0
35035,1.0,1.0,0.0
35034,1.0,1.0,3.0
35121,1.0,2.0,0.0
35049,1.0,2.0,3.0
35952,1.0,1.0,0.0
35980,1.0,1.0,3.0
35031,1.0,1.0,3.0
35079,1.0,2.0,3.0
35180,1.0,2.0,3.0
35172,1.0,2.0,0.0
35133,1.0,2.0,0.0
35097,1.0,2.0,0.0
36089,1.0,1.0,3.0
36029,1.0,2.0,4.0
36037,1.0,1.0,3.0
36030,1.0,2.0,0.0
36042,1.0,2.0,0.0
36033,1.0,1.0,0.0
36456,1.0,1.0,0.0
36207,1.0,2.0,0.0
36201,1.0,1.0,3.0
36206,1.0,2.0,0.0
36205,1.0,1.0,0.0
36203,1.0,2.0,3.0
36260,1.0,2.0,0.0
36277,1.0,2.0,3.0
36265,1.0,2.0,3.0
36272,1.0,2.0,0.0
36271,1.0,2.0,0.0
36250,1.0,2.0,0.0
35905,1.0,2.0,0.0
36279,1.0,2.0,0.0
36855,1.0,2.0,0.0
36862,1.0,1.0,0.0
36863,1.0,1.0,0.0
36879,1.0,2.0,0.0
36854,1.0,2.0,0.0
36852,1.0,2.0,3.0
35959,1.0,1.0,0.0
35973,1.0,1.0,0.0
35983,1.0,2.0,0.0
35960,1.0,2.0,0.0
35045,1.0,2.0,3.0
35046,1.0,2.0,0.0
35085,1.0,2.0,3.0
35171,1.0,2.0,3.0
35115,1.0,2.0,3.0
35040,1.0,2.0,3.0
36750,1.0,2.0,0.0
36091,1.0,2.0,3.0
36912,1.0,2.0,0.0
36916,1.0,2.0,0.0
36904,1.0,2.0,0.0
36921,1.0,2.0,0.0
36915,1.0,2.0,0.0
36908,1.0,2.0,0.0
36919,1.0,1.0,0.0
36784,1.0,2.0,0.0
36451,1.0,1.0,0.0
36524,1.0,1.0,0.0
36482,1.0,1.0,0.0
36540,1.0,1.0,3.0
36545,1.0,2.0,0.0
36258,1.0,2.0,0.0
36266,1.0,2.0,0.0
36251,1.0,1.0,0.0
36255,1.0,1.0,0.0
35072,1.0,1.0,0.0
36262,1.0,1.0,0.0
36269,1.0,1.0,3.0
36264,1.0,2.0,0.0
36273,1.0,2.0,0.0
36323,1.0,2.0,0.0
36079,1.0,2.0,3.0
36010,1.0,1.0,0.0
36346,1.0,1.0,0.0
36351,1.0,2.0,0.0
36453,1.0,2.0,0.0
36330,1.0,2.0,3.0
36316,1.0,2.0,0.0
35660,1.0,1.0,0.0
