zip	DensityClassRange	Mean_Population	Mean_Age	Mean_HHInc	Mean_HHSize	Age_bin	HHIncome_bin	HHSize_bin
36067	"< 1,500"	1535.823529	38.57694282	66712.28684	2.694328393	35-40	50-75K	Upto 3
36066	"< 1,500"	2394.444444	38.2321949	71041.69332	2.615699304	35-40	50-75K	Upto 3
36022	"< 1,500"	2673.833333	37.23337281	65010.97002	2.647790937	35-40	50-75K	Upto 3
36051	"< 1,500"	1326	38.3	54717	2.73	35-40	50-75K	Upto 3
36749	"< 1,500"	692	41.08135838	56708.03902	2.470166185	40-45	50-75K	Upto 3
36003	"< 1,500"	1107	40.95817525	50447.77778	2.472520325	40-45	50-75K	Upto 3
36579	"< 1,500"	1187	42.67750632	54769.54339	2.406621735	40-45	50-75K	Upto 3
36562	"< 1,500"	1454	39.8	57198	2.49	35-40	50-75K	Upto 3
36507	"< 1,500"	1761.461538	39.73876152	61784.62898	2.592095725	35-40	50-75K	Upto 3
36567	"< 1,500"	1944.285714	38.19665687	58615.32145	2.663523145	35-40	50-75K	Upto 3
36551	"< 1,500"	1949	38.95331965	62918.54151	2.663810159	35-40	50-75K	Upto 3
36527	"< 1,500"	3564.8	40.20821364	92223.63544	2.638581127	40-45	75-100K	Upto 3
36526	"< 1,500"	3476.111111	40.73672687	89820.7363	2.493787118	40-45	75-100K	Upto 3
36574	"< 1,500"	2048	44	57291	2.44	40-45	50-75K	Upto 3
36576	"< 1,500"	3856	39.9	51634	2.62	35-40	50-75K	Upto 3
36580	"< 1,500"	2247.666667	40.73689752	51200.90331	2.502531514	40-45	50-75K	Upto 3
36532	"< 1,500"	1989.8	43.641438	80975.45063	2.369866988	40-45	75-100K	Upto 3
36535	"< 1,500"	2844.5	41.09310951	53733.80998	2.462337259	40-45	50-75K	Upto 3
36542	"< 1,500"	2176.428571	43.36175254	64199.99554	2.218570397	40-45	50-75K	Upto 3
36561	"< 1,500"	1814	47.18602536	85816.68881	2.126861907	45-50	75-100K	Upto 3
36530	"< 1,500"	1475.2	43.61847885	52873.48007	2.418420553	40-45	50-75K	Upto 3
36549	"< 1,500"	1459.666667	56.3073076	64906.67481	2.03807947	55-60	50-75K	Upto 3
36053	"< 1,500"	845	42.85106509	40184.37456	2.313556213	40-45	25-50K	Upto 3
36027	"< 1,500"	1138.714286	40.39881445	48798.91983	2.471429557	40-45	25-50K	Upto 3
36016	"< 1,500"	1413	38.43677754	40076.40458	2.313297948	35-40	25-50K	Upto 3
36048	"< 1,500"	758.5	43.66822676	38405.95386	2.379808833	40-45	25-50K	Upto 3
36017	"< 1,500"	1350	39.65049383	45430.3084	2.503128395	35-40	25-50K	Upto 3
35184	"< 1,500"	1707.5	39.44532943	53142.7713	2.715674963	35-40	50-75K	Upto 3
35188	"< 1,500"	1826	37.4	69041	2.78	35-40	50-75K	Upto 3
35042	"< 1,500"	1095.2	42.15520453	51882.48539	2.424497809	40-45	50-75K	Upto 3
35035	"< 1,500"	1721	41.84956421	49029.73329	2.549970947	40-45	25-50K	Upto 3
35034	"< 1,500"	1665.333333	38.57153723	41054.22358	2.587403923	35-40	25-50K	Upto 3
